;date;RM;measurand;based.on;unit;mean.before;mean.after;median.before;median.after;median.after.noPP;sL;sbb;sbb.1;u;u.alternative;t.value;;labs.remaining;property.value;U;%U;%diff med-mean;;;;;;;;normalised;
27;29.07.2014;GAS;MgO;median;g/100g;38.33;38.21;38.15;38.11;38.11;0.143;0.0201;0.02007;0.0902;0.0902;2.09;;20;38.11;0.189;0.50;0.26;;;;;;;;;
28;29.07.2014;GAS;MnO;median;g/100g;0.08658;0.08484;0.085;0.08422;0.08416;6.21E-06;8.74E-07;8.74E-07;0.000581;0.000581;2.09;;21;0.08422;0.00121;1.44;0.74;;;;;;;;;
29;29.07.2014;GAS;Na2O;median;g/100g;0.0282;0.02303;0.0218;0.0209;0.0209;0.000185;2.60E-05;2.60E-05;0.0046;0.0046;2.26;;10;0.0209;0.0104;49.76;10.19;;;;;;;;;
30;29.07.2014;GAS;Nb;median;mg/kg;0.159;0.04143;0.04455;0.04239;0.04239;0.000119;1.68E-05;1.68E-05;0.00413;0.00413;2.36;;8;0.04239;0.00976;23.02;-2.26;;;;;;;;;
31;29.07.2014;GAS;Nd;median;mg/kg;0.1362;0.1338;0.1321;0.1315;0.1315;0.000107;1.50E-05;1.50E-05;0.00306;0.00306;2.18;;13;0.1315;0.00666;5.06;1.75;;;;;;;;;
32;29.07.2014;GAS;Ni;median;mg/kg;2240;2278;2279;2292;2313;8610;1210;1211;21.6;21.6;2.09;;21;2292;45.1;1.97;-0.61;;;;;;;;;
33;29.07.2014;GAS;P2O5;median;g/100g;0.01568;0.01292;0.01219;0.01074;0.01074;1.55E-05;2.18E-06;2.18E-06;0.00112;0.00112;2.16;;14;0.01074;0.00243;22.63;20.30;;;;;;;;;
34;29.07.2014;GAS;Pb;median;mg/kg;2.104;1.948;1.929;1.922;1.922;0.056;0.00788;0.007879;0.0894;0.0894;2.36;;8;1.922;0.211;10.98;1.35;;;;;;;;;
35;29.07.2014;GAS;Pr;median;g/100g;0.03522;0.03198;0.0327;0.03263;0.03263;6.17E-06;8.68E-07;8.68E-07;0.000736;0.000736;2.18;;13;0.03263;0.0016;4.90;-1.99;;;;;;;;;
36;29.07.2014;GAS;Rb;median;mg/kg;0.3794;0.2736;0.2555;0.2555;0.2555;0.004;0.000563;0.0005628;0.0187;0.0187;2.18;;13;0.2555;0.0408;15.97;7.08;;;;;;;;;
37;29.07.2014;GAS;Sb;median;mg/kg;11.95;11.95;12;12;12;0.991;0.139;0.1393;0.402;0.402;2.45;;7;12;0.983;8.19;-0.42;;;;;;;;;
38;29.07.2014;GAS;Sc;median;mg/kg;6.99;6.731;6.937;6.898;6.885;0.511;0.0719;0.07188;0.185;0.185;2.12;;17;6.898;0.393;5.70;-2.42;;;;;;;;;
39;29.07.2014;GAS;SiO2;median;g/100g;39.41;38.83;38.75;38.74;38.73;0.131;0.0185;0.01846;0.0825;0.0825;2.08;;22;38.74;0.172;0.44;0.23;;;;;;;;;
40;29.07.2014;GAS;Sm;median;mg/kg;0.03705;0.03705;0.03413;0.03413;0.03413;0.000127;1.79E-05;1.79E-05;0.00301;0.00301;2.13;;16;0.03413;0.00642;18.81;8.56;;;;;;;;;
41;29.07.2014;GAS;Sn;median;mg/kg;0.07359;0.07359;0.05553;0.05553;0.05553;0.00106;0.00015;0.0001495;0.0174;0.0174;3.18;;4;0.05553;0.0554;99.77;32.52;;;;;;;;;
42;29.07.2014;GAS;Sr;median;mg/kg;7.797;7.372;7.355;7.317;7.366;0.374;0.0526;0.05258;0.143;0.143;2.09;;21;7.317;0.297;4.06;0.75;;;;;;;;;
43;29.07.2014;GAS;Ta;median;mg/kg;0.01285;0.007018;0.005947;0.0051;0.0051;1.92E-05;2.70E-06;2.70E-06;0.00156;0.00156;2.31;;9;0.0051;0.0036;70.59;37.61;;;;;;;;;
44;29.07.2014;GAS;Tb;median;mg/kg;0.009056;0.008401;0.008607;0.00815;0.00815;8.04E-07;1.13E-07;1.13E-07;0.000266;0.000266;2.18;;13;0.00815;0.000579;7.10;3.08;;;;;;;;;
45;29.07.2014;GAS;Th;median;mg/kg;0.03475;0.03102;0.03137;0.03117;0.03117;2.55E-05;3.58E-06;3.58E-06;0.00156;0.00156;2.2;;12;0.03117;0.00342;10.97;-0.48;;;;;;;;;
46;29.07.2014;GAS;TiO2;median;g/100g;0.0134;0.01129;0.01133;0.0105;0.0105;8.84E-06;1.24E-06;1.24E-06;0.00077;0.00077;2.12;;17;0.0105;0.00163;15.52;7.52;;;;;;;;;
47;29.07.2014;GAS;Tl;median;mg/kg;0.003124;0.003124;0.00327;0.00327;0.00327;4.89E-08;6.88E-09;6.88E-09;0.000167;0.000167;12.71;;2;0.00327;0.00212;64.83;-4.46;;;;;;;;;
48;29.07.2014;GAS;Tm;median;mg/kg;0.007546;0.007357;0.007425;0.0074;0.0074;3.95E-07;5.55E-08;5.55E-08;0.000186;0.000186;2.18;;13;0.0074;0.000405;5.47;-0.58;;;;;;;;;
49;29.07.2014;GAS;U;median;mg/kg;0.9036;0.8304;0.8125;0.8112;0.8112;0.00222;0.000313;0.0003127;0.0126;0.0126;2.13;;16;0.8112;0.0268;3.30;2.37;;;;;;;;;
50;29.07.2014;GAS;V;median;mg/kg;32.23;32.96;32.76;32.82;32.6;8.79;1.24;1.236;0.727;0.727;2.1;;19;32.82;1.53;4.66;0.43;;;;;;;;;
51;29.07.2014;GAS;Y;median;mg/kg;0.4246;0.3766;0.3857;0.3857;0.3852;0.00359;0.000505;0.0005049;0.0155;0.0155;2.12;;17;0.3857;0.0329;8.53;-2.36;;;;;;;;;
52;29.07.2014;GAS;Yb;median;mg/kg;0.05756;0.05319;0.05278;0.05255;0.05255;4.07E-05;5.73E-06;5.73E-06;0.00165;0.00165;2.12;;17;0.05255;0.0035;6.66;1.22;;;;;;;;;
53;29.07.2014;GAS;Zn;median;mg/kg;37.16;37.16;38.5;38.5;38.84;12.7;1.79;1.789;0.794;0.794;2.07;;23;38.5;1.65;4.29;-3.48;;;;;;;;;
54;29.07.2014;GAS;Zr;median;mg/kg;2.325;0.8449;1.253;0.6151;0.6151;0.255;0.0359;0.03593;0.171;0.171;2.26;;10;0.6151;0.386;62.75;37.36;;;;;;;;;
