;date;RM;measurand;based.on;unit;mean.before;mean.after;median.before;median.after;median.after.noPP;sL;sbb;sr;u;u.alternative;t.value;outlier;labs.remaining;property.value;U
15;29.07.2014;MUH;Fe2O3T;median;g/100g;8.638;8.587;8.602;8.585;8.575;0.0149;0.000805;0.0003724;0.0257;0.0258;2.07;21.66666667;23;8.585;0.0534
16;29.07.2014;MUH;FeO;median;g/100g;3.487;3.487;3.3;3.3;3.3;0.412;0.0152;0.007771;0.373;0.374;4.3;21.66666667;3;3.3;1.61
17;29.07.2014;MUH;Ga;median;mg/kg;1.419;1.384;1.459;1.4;1.386;0.0188;0.00267;0.0008811;0.0424;0.0426;2.23;21.66666667;11;1.4;0.0949
18;29.07.2014;MUH;Gd;median;mg/kg;0.1093;0.1075;0.1104;0.1104;0.1104;4.60E-05;5.41E-06;1.91E-06;0.002;0.00201;2.2;21.66666667;12;0.1104;0.00442
19;29.07.2014;MUH;H2O.;median;g/100g;0.1401;0.1401;0.1162;0.1162;0.1162;0.00607;0.000213;0.000112;0.0392;0.0393;3.18;21.66666667;4;0.1162;0.125
20;29.07.2014;MUH;Hf;median;mg/kg;0.06129;0.04357;0.03768;0.03745;0.03745;0.00042;3.23E-05;1.33E-05;0.00577;0.00579;2.18;21.66666667;13;0.03745;0.0126
21;29.07.2014;MUH;Ho;median;mg/kg;0.03608;0.03573;0.03519;0.03519;0.03519;6.08E-06;8.79E-07;2.89E-07;0.000701;0.000705;2.18;21.66666667;13;0.03519;0.00154
22;29.07.2014;MUH;K2O;median;g/100g;0.01352;0.01188;0.01093;0.01093;0.0117;2.17E-05;4.38E-06;1.29E-06;0.00129;0.0013;2.16;21.66666667;14;0.01093;0.0028
23;29.07.2014;MUH;La;median;g/100g;0.1359;0.1392;0.1335;0.1344;0.1344;5.42E-05;0.000191;2.58E-05;0.00283;0.0029;2.14;21.66666667;15;0.1344;0.00622
24;29.07.2014;MUH;Li;median;mg/kg;1.895;1.784;1.721;1.678;1.678;0.248;0.00921;0.00481;0.19;0.19;2.45;21.66666667;7;1.678;0.465
