"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sr","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"1","2014-08-03","MUH","Al2O3","median","g/100g",1.33,1.334,1.33,1.33,1.33,0.00156,0.000124,5.028e-05,0.00896,0.00899,2.09,21.6666666666667,20,1.33,0.0188
"2","2014-08-03","MUH","As","median","mg/kg",3.642,3.642,3.582,3.582,3.582,0.754,0.054,0.02252,0.311,0.312,2.36,21.6666666666667,8,3.582,0.738
"3","2014-08-03","MUH","Ba","median","mg/kg",5.972,4.979,4.971,4.905,4.971,0.241,0.178,0.03531,0.134,0.135,2.12,21.6666666666667,17,4.905,0.287
"4","2014-08-03","MUH","Be","median","mg/kg",0.01169,0.01169,0.01241,0.01241,0.01241,2.51e-06,8.41e-07,2.071e-07,0.000967,0.000976,4.3,21.6666666666667,3,0.01241,0.0042
"5","2014-08-03","MUH","CaO","median","g/100g",1.214,1.213,1.215,1.215,1.216,0.000484,9.76e-05,2.873e-05,0.00497,0.00501,2.09,21.6666666666667,21,1.215,0.0104
"6","2014-08-03","MUH","Ce","median","mg/kg",0.2208,0.212,0.1995,0.1985,0.1985,0.000732,0.000236,5.97e-05,0.00763,0.0077,2.16,21.6666666666667,14,0.1985,0.0166
"7","2014-08-03","MUH","Co","median","mg/kg",106.4,106.7,106.8,106.9,106.8,29.7,1.65,0.7564,1.17,1.18,2.08,21.6666666666667,22,106.9,2.45
"8","2014-08-03","MUH","CO2","median","g/100g",1.032,1.032,1.021,1.021,1.021,0.00486,0.00234,0.0005141,0.0533,0.0539,12.71,21.6666666666667,2,1.021,0.685
"9","2014-08-03","MUH","Cr","median","mg/kg",2545,2666,2692,2706,2705,15900,298,197.3,27.6,27.7,2.09,21.6666666666667,21,2706,57.7
"10","2014-08-03","MUH","Cs","median","mg/kg",0.09793,0.0989,0.09705,0.09755,0.09755,1.69e-05,1.19e-05,2.393e-06,0.00127,0.00129,2.18,21.6666666666667,13,0.09755,0.00281
"11","2014-08-03","MUH","Cu","median","mg/kg",18.6,19.09,18.76,18.89,18.89,1.75,0.251,0.08281,0.329,0.331,2.12,21.6666666666667,17,18.89,0.702
"12","2014-08-03","MUH","Dy","median","mg/kg",0.1494,0.1528,0.1536,0.1542,0.1542,0.000157,1.96e-05,6.788e-06,0.00311,0.00313,2.12,21.6666666666667,17,0.1542,0.00663
"13","2014-08-03","MUH","Er","median","mg/kg",0.1063,0.1082,0.1088,0.109,0.109,1.62e-05,5.09e-06,1.296e-06,0.00103,0.00104,2.12,21.6666666666667,17,0.109,0.0022
"14","2014-08-03","MUH","Eu","median","mg/kg",0.02667,0.0262,0.02678,0.02655,0.02655,2.65e-06,1.06e-06,2.509e-07,0.000449,0.000454,2.14,21.6666666666667,15,0.02655,0.000973
"15","2014-08-03","MUH","Fe2O3T","median","g/100g",8.638,8.587,8.602,8.585,8.575,0.0149,0.000805,0.0003724,0.0257,0.0258,2.07,21.6666666666667,23,8.585,0.0534
"16","2014-08-03","MUH","FeO","median","g/100g",3.487,3.487,3.3,3.3,3.3,0.412,0.0152,0.007771,0.373,0.374,4.3,21.6666666666667,3,3.3,1.61
"17","2014-08-03","MUH","Ga","median","mg/kg",1.419,1.384,1.459,1.4,1.386,0.0188,0.00267,0.0008811,0.0424,0.0426,2.23,21.6666666666667,11,1.4,0.0949
"18","2014-08-03","MUH","Gd","median","mg/kg",0.1093,0.1075,0.1104,0.1104,0.1104,4.6e-05,5.41e-06,1.906e-06,0.002,0.00201,2.2,21.6666666666667,12,0.1104,0.00442
"19","2014-08-03","MUH","H2O.","median","g/100g",0.1401,0.1401,0.1162,0.1162,0.1162,0.00607,0.000213,0.000112,0.0392,0.0393,3.18,21.6666666666667,4,0.1162,0.125
