"date" "RM" "measurand" "t.value" "n" "PV" "U" "unit"
"2014-07-24" "GAS" "Al2O3" 2.1 19 0.45 0.00936 "g/100g"
"2014-07-24" "GAS" "As" 2.31 9 112.6 14.5 "mg/kg"
"2014-07-24" "GAS" "Ba" 2.13 16 8 0.327 "mg/kg"
"2014-07-24" "GAS" "Be" 4.3 3 0.02877 0.0174 "mg/kg"
"2014-07-24" "GAS" "CaO" 2.09 21 0.678 0.00752 "g/100g"
"2014-07-24" "GAS" "Ce" 2.13 16 0.2541 0.0159 "mg/kg"
"2014-07-24" "GAS" "Co" 2.09 21 107.9 1.75 "mg/kg"
"2014-07-24" "GAS" "CO2" 12.71 2 1.295 0.667 "g/100g"
"2014-07-24" "GAS" "Cr" 2.09 20 2757 39.6 "mg/kg"
"2014-07-24" "GAS" "Cs" 2.18 13 0.0294 0.0011 "mg/kg"
"2014-07-24" "GAS" "Cu" 2.12 17 7.121 0.527 "mg/kg"
"2014-07-24" "GAS" "Dy" 2.13 16 0.05596 0.00208 "mg/kg"
"2014-07-24" "GAS" "Er" 2.14 15 0.0434 0.00153 "mg/kg"
"2014-07-24" "GAS" "Eu" 2.14 15 0.008989 0.000948 "mg/kg"
"2014-07-24" "GAS" "Fe2O3T" 2.08 22 7.974 0.0504 "g/100g"
"2014-07-24" "GAS" "FeO" 4.3 3 0.52 0.474 "g/100g"
"2014-07-24" "GAS" "Ga" 2.23 11 1 0.0874 "mg/kg"
"2014-07-24" "GAS" "Gd" 2.18 13 0.04432 0.00203 "mg/kg"
"2014-07-24" "GAS" "H2O." 4.3 3 9.315 0.846 "g/100g"
"2014-07-24" "GAS" "Hf" 2.23 11 0.021 0.00865 "mg/kg"
"2014-07-24" "GAS" "Ho" 2.16 14 0.01312 0.000876 "mg/kg"
"2014-07-24" "GAS" "K2O" 2.16 14 0.009835 0.00249 "g/100g"
"2014-07-24" "GAS" "La" 2.14 15 0.1456 0.0069 "g/100g"
"2014-07-24" "GAS" "Li" 2.57 6 2.179 0.386 "mg/kg"
"2014-07-24" "GAS" "LOI" 2.08 22 13.19 0.0865 "g/100g"
"2014-07-24" "GAS" "Lu" 2.14 15 0.00925 0.000457 "mg/kg"
"2014-07-24" "GAS" "MgO" 2.09 20 38.11 0.189 "g/100g"
"2014-07-24" "GAS" "MnO" 2.09 21 0.08422 0.00121 "g/100g"
"2014-07-24" "GAS" "Na2O" 2.26 10 0.0209 0.0104 "g/100g"
"2014-07-24" "GAS" "Nb" 2.36 8 0.04239 0.00976 "mg/kg"
"2014-07-24" "GAS" "Nd" 2.18 13 0.1315 0.00666 "mg/kg"
"2014-07-24" "GAS" "Ni" 2.09 21 2292 45.1 "mg/kg"
"2014-07-24" "GAS" "P2O5" 2.16 14 0.01074 0.00243 "g/100g"
"2014-07-24" "GAS" "Pb" 2.36 8 1.922 0.211 "mg/kg"
"2014-07-24" "GAS" "Pr" 2.18 13 0.03263 0.0016 "g/100g"
"2014-07-24" "GAS" "Rb" 2.18 13 0.2555 0.0408 "mg/kg"
"2014-07-24" "GAS" "Sb" 2.45 7 12 0.983 "mg/kg"
"2014-07-24" "GAS" "Sc" 2.12 17 6.898 0.393 "mg/kg"
"2014-07-24" "GAS" "SiO2" 2.08 22 38.74 0.172 "g/100g"
"2014-07-24" "GAS" "Sm" 2.13 16 0.03413 0.00642 "mg/kg"
"2014-07-24" "GAS" "Sn" 3.18 4 0.05553 0.0554 "mg/kg"
"2014-07-24" "GAS" "Sr" 2.09 21 7.317 0.297 "mg/kg"
"2014-07-24" "GAS" "Ta" 2.31 9 0.0051 0.0036 "mg/kg"
"2014-07-24" "GAS" "Tb" 2.18 13 0.00815 0.000579 "mg/kg"
"2014-07-24" "GAS" "Th" 2.2 12 0.03117 0.00342 "mg/kg"
"2014-07-24" "GAS" "TiO2" 2.12 17 0.0105 0.00163 "g/100g"
"2014-07-24" "GAS" "Tl" 12.71 2 0.00327 0.00212 "mg/kg"
"2014-07-24" "GAS" "Tm" 2.18 13 0.0074 0.000405 "mg/kg"
"2014-07-24" "GAS" "U" 2.13 16 0.8112 0.0268 "mg/kg"
"2014-07-24" "GAS" "V" 2.1 19 32.82 1.53 "mg/kg"
"2014-07-24" "GAS" "Y" 2.12 17 0.3857 0.0329 "mg/kg"
"2014-07-24" "GAS" "Yb" 2.12 17 0.05255 0.0035 "mg/kg"
"2014-07-24" "GAS" "Zn" 2.07 23 38.5 1.65 "mg/kg"
"2014-07-24" "GAS" "Zr" 2.26 10 0.6151 0.386 "mg/kg"
