"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sr" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-24 "OKUM" "P2O5" 0.02803 0.02659 0.02724 0.02652 0.02576 "g/100g" 1.99e-05 2.07e-07 1.658e-07 0.00108 0.00109 2.12 31 17 "median" 0.02652 0.0023
2014-07-24 "OKUM" "H2O." 5.747 5.747 5.71 5.71 5.71 "g/100g" 0.0148 0.00159 0.0005654 0.0717 0.072 4.3 10 3 "median" 5.71 0.31
2014-07-24 "OKUM" "H2O." 5.747 5.747 5.71 5.71 5.71 "g/100g" 0.0148 0.00159 0.0005654 0.0717 0.072 4.3 26 3 "median" 5.71 0.31
2014-07-24 "OKUM" "H2O." 5.747 5.747 5.71 5.71 5.71 "g/100g" 0.0148 0.00159 0.0005654 0.0717 0.072 4.3 31 3 "median" 5.71 0.31
2014-07-24 "OKUM" "CO2" 0.1971 0.1971 0.2 0.2 0.2 "g/100g" 0.00366 3.8e-05 2.87e-05 0.0429 0.0429 12.71 10 2 "median" 0.2 0.545
2014-07-24 "OKUM" "CO2" 0.1971 0.1971 0.2 0.2 0.2 "g/100g" 0.00366 3.8e-05 2.87e-05 0.0429 0.0429 12.71 26 2 "median" 0.2 0.545
2014-07-24 "OKUM" "CO2" 0.1971 0.1971 0.2 0.2 0.2 "g/100g" 0.00366 3.8e-05 2.87e-05 0.0429 0.0429 12.71 31 2 "median" 0.2 0.545
2014-07-24 "OKUM" "LOI" 4.594 4.594 4.69 4.69 4.69 "g/100g" 0.0694 0.00442 0.001932 0.0568 0.057 2.08 10 22 "median" 4.69 0.119
2014-07-24 "OKUM" "LOI" 4.594 4.594 4.69 4.69 4.69 "g/100g" 0.0694 0.00442 0.001932 0.0568 0.057 2.08 26 22 "median" 4.69 0.119
2014-07-24 "OKUM" "LOI" 4.594 4.594 4.69 4.69 4.69 "g/100g" 0.0694 0.00442 0.001932 0.0568 0.057 2.08 31 22 "median" 4.69 0.119
2014-07-24 "OKUM" "As" 0.4612 0.4648 0.3725 0.3725 0.3725 "mg/kg" 0.0581 0.003 0.0014 0.092 0.0923 2.45 10 7 "median" 0.3725 0.226
2014-07-24 "OKUM" "As" 0.4612 0.4648 0.3725 0.3725 0.3725 "mg/kg" 0.0581 0.003 0.0014 0.092 0.0923 2.45 26 7 "median" 0.3725 0.226
2014-07-24 "OKUM" "As" 0.4612 0.4648 0.3725 0.3725 0.3725 "mg/kg" 0.0581 0.003 0.0014 0.092 0.0923 2.45 31 7 "median" 0.3725 0.226
2014-07-24 "OKUM" "Ba" 7.344 6.376 6.224 6.161 6.124 "mg/kg" 0.507 0.106 0.03082 0.185 0.186 2.13 10 16 "median" 6.161 0.396
2014-07-24 "OKUM" "Ba" 7.344 6.376 6.224 6.161 6.124 "mg/kg" 0.507 0.106 0.03082 0.185 0.186 2.13 26 16 "median" 6.161 0.396
2014-07-24 "OKUM" "Ba" 7.344 6.376 6.224 6.161 6.124 "mg/kg" 0.507 0.106 0.03082 0.185 0.186 2.13 31 16 "median" 6.161 0.396
2014-07-24 "OKUM" "Be" 0.06535 0.06535 0.06597 0.06597 0.06597 "mg/kg" 9.49e-06 1.54e-05 2.492e-06 0.00157 0.0016 2.57 10 6 "median" 0.06597 0.00412
2014-07-24 "OKUM" "Be" 0.06535 0.06535 0.06597 0.06597 0.06597 "mg/kg" 9.49e-06 1.54e-05 2.492e-06 0.00157 0.0016 2.57 26 6 "median" 0.06597 0.00412
2014-07-24 "OKUM" "Be" 0.06535 0.06535 0.06597 0.06597 0.06597 "mg/kg" 9.49e-06 1.54e-05 2.492e-06 0.00157 0.0016 2.57 31 6 "median" 0.06597 0.00412
2014-07-24 "OKUM" "Ce" 1.322 1.269 1.282 1.279 1.279 "mg/kg" 0.00427 0.000904 0.0002617 0.016 0.0161 2.11 10 18 "median" 1.279 0.0339
2014-07-24 "OKUM" "Ce" 1.322 1.269 1.282 1.279 1.279 "mg/kg" 0.00427 0.000904 0.0002617 0.016 0.0161 2.11 26 18 "median" 1.279 0.0339
2014-07-24 "OKUM" "Ce" 1.322 1.269 1.282 1.279 1.279 "mg/kg" 0.00427 0.000904 0.0002617 0.016 0.0161 2.11 31 18 "median" 1.279 0.0339
2014-07-24 "OKUM" "Co" 88.53 88.9 88.89 89.4 89.4 "mg/kg" 6.42 1.22 0.3667 0.546 0.55 2.07 10 23 "median" 89.4 1.14
2014-07-24 "OKUM" "Co" 88.53 88.9 88.89 89.4 89.4 "mg/kg" 6.42 1.22 0.3667 0.546 0.55 2.07 26 23 "median" 89.4 1.14
