"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sbb.1","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"33","2014-08-03","GAS","P2O5","median","g/100g",0.01568,0.01292,0.01219,0.01074,0.01074,1.55e-05,2.18e-06,2.182e-06,0.00112,0.00112,2.16,21.6666666666667,14,0.01074,0.00243
"34","2014-08-03","GAS","Pb","median","mg/kg",2.104,1.948,1.929,1.922,1.922,0.056,0.00788,0.007879,0.0894,0.0894,2.36,21.6666666666667,8,1.922,0.211
"35","2014-08-03","GAS","Pr","median","g/100g",0.03522,0.03198,0.0327,0.03263,0.03263,6.17e-06,8.68e-07,8.678e-07,0.000736,0.000736,2.18,21.6666666666667,13,0.03263,0.0016
"36","2014-08-03","GAS","Rb","median","mg/kg",0.3794,0.2736,0.2555,0.2555,0.2555,0.004,0.000563,0.0005628,0.0187,0.0187,2.18,21.6666666666667,13,0.2555,0.0408
"37","2014-08-03","GAS","Sb","median","mg/kg",11.95,11.95,12,12,12,0.991,0.139,0.1393,0.402,0.402,2.45,21.6666666666667,7,12,0.983
"38","2014-08-03","GAS","Sc","median","mg/kg",6.99,6.731,6.937,6.898,6.885,0.511,0.0719,0.07188,0.185,0.185,2.12,21.6666666666667,17,6.898,0.393
"39","2014-08-03","GAS","SiO2","median","g/100g",39.41,38.83,38.75,38.74,38.73,0.131,0.0185,0.01846,0.0825,0.0825,2.08,21.6666666666667,22,38.74,0.172
"40","2014-08-03","GAS","Sm","median","mg/kg",0.03705,0.03705,0.03413,0.03413,0.03413,0.000127,1.79e-05,1.788e-05,0.00301,0.00301,2.13,21.6666666666667,16,0.03413,0.00642
"41","2014-08-03","GAS","Sn","median","mg/kg",0.07359,0.07359,0.05553,0.05553,0.05553,0.00106,0.00015,0.0001495,0.0174,0.0174,3.18,21.6666666666667,4,0.05553,0.0554
"42","2014-08-03","GAS","Sr","median","mg/kg",7.797,7.372,7.355,7.317,7.366,0.374,0.0526,0.05258,0.143,0.143,2.09,21.6666666666667,21,7.317,0.297
"43","2014-08-03","GAS","Ta","median","mg/kg",0.01285,0.007018,0.005947,0.0051,0.0051,1.92e-05,2.7e-06,2.7e-06,0.00156,0.00156,2.31,21.6666666666667,9,0.0051,0.0036
