"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sr" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-24 "MUH" "SiO2" 40.38 40.38 40.35 40.35 40.3 "g/100g" 0.143 0.0089 0.003926 0.0816 0.0819 2.08 10 22 "median" 40.35 0.17
2014-07-24 "MUH" "SiO2" 40.38 40.38 40.35 40.35 40.3 "g/100g" 0.143 0.0089 0.003926 0.0816 0.0819 2.08 6 22 "median" 40.35 0.17
2014-07-24 "MUH" "SiO2" 40.38 40.38 40.35 40.35 40.3 "g/100g" 0.143 0.0089 0.003926 0.0816 0.0819 2.08 26 22 "median" 40.35 0.17
2014-07-24 "MUH" "SiO2" 40.38 40.38 40.35 40.35 40.3 "g/100g" 0.143 0.0089 0.003926 0.0816 0.0819 2.08 33 22 "median" 40.35 0.17
2014-07-24 "MUH" "SiO2" 40.38 40.38 40.35 40.35 40.3 "g/100g" 0.143 0.0089 0.003926 0.0816 0.0819 2.08 31 22 "median" 40.35 0.17
2014-07-24 "MUH" "SiO2" 40.38 40.38 40.35 40.35 40.3 "g/100g" 0.143 0.0089 0.003926 0.0816 0.0819 2.08 24 22 "median" 40.35 0.17
2014-07-24 "MUH" "TiO2" 0.03599 0.03436 0.03472 0.0346 0.03452 "g/100g" 1.87e-05 1.52e-06 6.114e-07 0.000895 0.000899 2.07 10 24 "median" 0.0346 0.00186
2014-07-24 "MUH" "TiO2" 0.03599 0.03436 0.03472 0.0346 0.03452 "g/100g" 1.87e-05 1.52e-06 6.114e-07 0.000895 0.000899 2.07 6 24 "median" 0.0346 0.00186
2014-07-24 "MUH" "TiO2" 0.03599 0.03436 0.03472 0.0346 0.03452 "g/100g" 1.87e-05 1.52e-06 6.114e-07 0.000895 0.000899 2.07 26 24 "median" 0.0346 0.00186
2014-07-24 "MUH" "TiO2" 0.03599 0.03436 0.03472 0.0346 0.03452 "g/100g" 1.87e-05 1.52e-06 6.114e-07 0.000895 0.000899 2.07 33 24 "median" 0.0346 0.00186
2014-07-24 "MUH" "TiO2" 0.03599 0.03436 0.03472 0.0346 0.03452 "g/100g" 1.87e-05 1.52e-06 6.114e-07 0.000895 0.000899 2.07 31 24 "median" 0.0346 0.00186
2014-07-24 "MUH" "TiO2" 0.03599 0.03436 0.03472 0.0346 0.03452 "g/100g" 1.87e-05 1.52e-06 6.114e-07 0.000895 0.000899 2.07 24 24 "median" 0.0346 0.00186
2014-07-24 "MUH" "Al2O3" 1.33 1.334 1.33 1.33 1.33 "g/100g" 0.00156 0.000124 5.028e-05 0.00896 0.00899 2.09 10 20 "median" 1.33 0.0188
2014-07-24 "MUH" "Al2O3" 1.33 1.334 1.33 1.33 1.33 "g/100g" 0.00156 0.000124 5.028e-05 0.00896 0.00899 2.09 6 20 "median" 1.33 0.0188
2014-07-24 "MUH" "Al2O3" 1.33 1.334 1.33 1.33 1.33 "g/100g" 0.00156 0.000124 5.028e-05 0.00896 0.00899 2.09 26 20 "median" 1.33 0.0188
2014-07-24 "MUH" "Al2O3" 1.33 1.334 1.33 1.33 1.33 "g/100g" 0.00156 0.000124 5.028e-05 0.00896 0.00899 2.09 33 20 "median" 1.33 0.0188
2014-07-24 "MUH" "Al2O3" 1.33 1.334 1.33 1.33 1.33 "g/100g" 0.00156 0.000124 5.028e-05 0.00896 0.00899 2.09 31 20 "median" 1.33 0.0188
2014-07-24 "MUH" "Al2O3" 1.33 1.334 1.33 1.33 1.33 "g/100g" 0.00156 0.000124 5.028e-05 0.00896 0.00899 2.09 24 20 "median" 1.33 0.0188
2014-07-24 "MUH" "Fe2O3T" 8.638 8.587 8.602 8.585 8.575 "g/100g" 0.0149 0.000805 0.0003724 0.0257 0.0258 2.07 10 23 "median" 8.585 0.0534
2014-07-24 "MUH" "Fe2O3T" 8.638 8.587 8.602 8.585 8.575 "g/100g" 0.0149 0.000805 0.0003724 0.0257 0.0258 2.07 6 23 "median" 8.585 0.0534
2014-07-24 "MUH" "Fe2O3T" 8.638 8.587 8.602 8.585 8.575 "g/100g" 0.0149 0.000805 0.0003724 0.0257 0.0258 2.07 26 23 "median" 8.585 0.0534
2014-07-24 "MUH" "Fe2O3T" 8.638 8.587 8.602 8.585 8.575 "g/100g" 0.0149 0.000805 0.0003724 0.0257 0.0258 2.07 33 23 "median" 8.585 0.0534
2014-07-24 "MUH" "Fe2O3T" 8.638 8.587 8.602 8.585 8.575 "g/100g" 0.0149 0.000805 0.0003724 0.0257 0.0258 2.07 31 23 "median" 8.585 0.0534
2014-07-24 "MUH" "Fe2O3T" 8.638 8.587 8.602 8.585 8.575 "g/100g" 0.0149 0.000805 0.0003724 0.0257 0.0258 2.07 24 23 "median" 8.585 0.0534
2014-07-24 "MUH" "FeO" 3.487 3.487 3.3 3.3 3.3 "g/100g" 0.412 0.0152 0.007771 0.373 0.374 4.3 10 3 "median" 3.3 1.61
2014-07-24 "MUH" "FeO" 3.487 3.487 3.3 3.3 3.3 "g/100g" 0.412 0.0152 0.007771 0.373 0.374 4.3 6 3 "median" 3.3 1.61
2014-07-24 "MUH" "FeO" 3.487 3.487 3.3 3.3 3.3 "g/100g" 0.412 0.0152 0.007771 0.373 0.374 4.3 26 3 "median" 3.3 1.61
2014-07-24 "MUH" "FeO" 3.487 3.487 3.3 3.3 3.3 "g/100g" 0.412 0.0152 0.007771 0.373 0.374 4.3 33 3 "median" 3.3 1.61
2014-07-24 "MUH" "FeO" 3.487 3.487 3.3 3.3 3.3 "g/100g" 0.412 0.0152 0.007771 0.373 0.374 4.3 31 3 "median" 3.3 1.61
2014-07-24 "MUH" "FeO" 3.487 3.487 3.3 3.3 3.3 "g/100g" 0.412 0.0152 0.007771 0.373 0.374 4.3 24 3 "median" 3.3 1.61
2014-07-24 "MUH" "MnO" 0.1195 0.1179 0.1183 0.1176 0.1175 "g/100g" 8.74e-06 1.29e-06 4.222e-07 0.000662 0.000666 2.09 10 21 "median" 0.1176 0.00139
2014-07-24 "MUH" "MnO" 0.1195 0.1179 0.1183 0.1176 0.1175 "g/100g" 8.74e-06 1.29e-06 4.222e-07 0.000662 0.000666 2.09 6 21 "median" 0.1176 0.00139
2014-07-24 "MUH" "MnO" 0.1195 0.1179 0.1183 0.1176 0.1175 "g/100g" 8.74e-06 1.29e-06 4.222e-07 0.000662 0.000666 2.09 26 21 "median" 0.1176 0.00139
2014-07-24 "MUH" "MnO" 0.1195 0.1179 0.1183 0.1176 0.1175 "g/100g" 8.74e-06 1.29e-06 4.222e-07 0.000662 0.000666 2.09 33 21 "median" 0.1176 0.00139
2014-07-24 "MUH" "MnO" 0.1195 0.1179 0.1183 0.1176 0.1175 "g/100g" 8.74e-06 1.29e-06 4.222e-07 0.000662 0.000666 2.09 31 21 "median" 0.1176 0.00139
2014-07-24 "MUH" "MnO" 0.1195 0.1179 0.1183 0.1176 0.1175 "g/100g" 8.74e-06 1.29e-06 4.222e-07 0.000662 0.000666 2.09 24 21 "median" 0.1176 0.00139
2014-07-24 "MUH" "MgO" 38.19 38.25 38.24 38.28 38.31 "g/100g" 0.137 0.00976 0.004103 0.0781 0.0784 2.07 10 23 "median" 38.28 0.163
2014-07-24 "MUH" "MgO" 38.19 38.25 38.24 38.28 38.31 "g/100g" 0.137 0.00976 0.004103 0.0781 0.0784 2.07 6 23 "median" 38.28 0.163
2014-07-24 "MUH" "MgO" 38.19 38.25 38.24 38.28 38.31 "g/100g" 0.137 0.00976 0.004103 0.0781 0.0784 2.07 26 23 "median" 38.28 0.163
2014-07-24 "MUH" "MgO" 38.19 38.25 38.24 38.28 38.31 "g/100g" 0.137 0.00976 0.004103 0.0781 0.0784 2.07 33 23 "median" 38.28 0.163
2014-07-24 "MUH" "MgO" 38.19 38.25 38.24 38.28 38.31 "g/100g" 0.137 0.00976 0.004103 0.0781 0.0784 2.07 31 23 "median" 38.28 0.163
2014-07-24 "MUH" "MgO" 38.19 38.25 38.24 38.28 38.31 "g/100g" 0.137 0.00976 0.004103 0.0781 0.0784 2.07 24 23 "median" 38.28 0.163
2014-07-24 "MUH" "CaO" 1.214 1.213 1.215 1.215 1.216 "g/100g" 0.000484 9.76e-05 2.873e-05 0.00497 0.00501 2.09 10 21 "median" 1.215 0.0104
2014-07-24 "MUH" "CaO" 1.214 1.213 1.215 1.215 1.216 "g/100g" 0.000484 9.76e-05 2.873e-05 0.00497 0.00501 2.09 6 21 "median" 1.215 0.0104
2014-07-24 "MUH" "CaO" 1.214 1.213 1.215 1.215 1.216 "g/100g" 0.000484 9.76e-05 2.873e-05 0.00497 0.00501 2.09 26 21 "median" 1.215 0.0104
2014-07-24 "MUH" "CaO" 1.214 1.213 1.215 1.215 1.216 "g/100g" 0.000484 9.76e-05 2.873e-05 0.00497 0.00501 2.09 33 21 "median" 1.215 0.0104
2014-07-24 "MUH" "CaO" 1.214 1.213 1.215 1.215 1.216 "g/100g" 0.000484 9.76e-05 2.873e-05 0.00497 0.00501 2.09 31 21 "median" 1.215 0.0104
2014-07-24 "MUH" "CaO" 1.214 1.213 1.215 1.215 1.216 "g/100g" 0.000484 9.76e-05 2.873e-05 0.00497 0.00501 2.09 24 21 "median" 1.215 0.0104
2014-07-24 "MUH" "Na2O" 0.09948 0.1037 0.1 0.1 0.1 "g/100g" 0.000383 1.95e-05 9.212e-06 0.00466 0.00467 2.11 10 18 "median" 0.1 0.00986
2014-07-24 "MUH" "Na2O" 0.09948 0.1037 0.1 0.1 0.1 "g/100g" 0.000383 1.95e-05 9.212e-06 0.00466 0.00467 2.11 6 18 "median" 0.1 0.00986
2014-07-24 "MUH" "Na2O" 0.09948 0.1037 0.1 0.1 0.1 "g/100g" 0.000383 1.95e-05 9.212e-06 0.00466 0.00467 2.11 26 18 "median" 0.1 0.00986
2014-07-24 "MUH" "Na2O" 0.09948 0.1037 0.1 0.1 0.1 "g/100g" 0.000383 1.95e-05 9.212e-06 0.00466 0.00467 2.11 33 18 "median" 0.1 0.00986
2014-07-24 "MUH" "Na2O" 0.09948 0.1037 0.1 0.1 0.1 "g/100g" 0.000383 1.95e-05 9.212e-06 0.00466 0.00467 2.11 31 18 "median" 0.1 0.00986
2014-07-24 "MUH" "Na2O" 0.09948 0.1037 0.1 0.1 0.1 "g/100g" 0.000383 1.95e-05 9.212e-06 0.00466 0.00467 2.11 24 18 "median" 0.1 0.00986
2014-07-24 "MUH" "K2O" 0.01352 0.01188 0.01093 0.01093 0.0117 "g/100g" 2.17e-05 4.38e-06 1.287e-06 0.00129 0.0013 2.16 10 14 "median" 0.01093 0.0028
2014-07-24 "MUH" "K2O" 0.01352 0.01188 0.01093 0.01093 0.0117 "g/100g" 2.17e-05 4.38e-06 1.287e-06 0.00129 0.0013 2.16 6 14 "median" 0.01093 0.0028
2014-07-24 "MUH" "K2O" 0.01352 0.01188 0.01093 0.01093 0.0117 "g/100g" 2.17e-05 4.38e-06 1.287e-06 0.00129 0.0013 2.16 26 14 "median" 0.01093 0.0028
2014-07-24 "MUH" "K2O" 0.01352 0.01188 0.01093 0.01093 0.0117 "g/100g" 2.17e-05 4.38e-06 1.287e-06 0.00129 0.0013 2.16 33 14 "median" 0.01093 0.0028
