"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sbb" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-25 "GAS" "MnO" 0.08658 0.08484 0.085 0.08422 0.08416 "g/100g" 6.21e-06 8.74e-07 8.736e-07 0.000581 0.000581 2.09 26 21 "median" 0.08422 0.00121
2014-07-25 "GAS" "MnO" 0.08658 0.08484 0.085 0.08422 0.08416 "g/100g" 6.21e-06 8.74e-07 8.736e-07 0.000581 0.000581 2.09 33 21 "median" 0.08422 0.00121
2014-07-25 "GAS" "MnO" 0.08658 0.08484 0.085 0.08422 0.08416 "g/100g" 6.21e-06 8.74e-07 8.736e-07 0.000581 0.000581 2.09 31 21 "median" 0.08422 0.00121
2014-07-25 "GAS" "MnO" 0.08658 0.08484 0.085 0.08422 0.08416 "g/100g" 6.21e-06 8.74e-07 8.736e-07 0.000581 0.000581 2.09 24 21 "median" 0.08422 0.00121
2014-07-25 "GAS" "MgO" 38.33 38.21 38.15 38.11 38.11 "g/100g" 0.143 0.0201 0.02007 0.0902 0.0902 2.09 10 20 "median" 38.11 0.189
2014-07-25 "GAS" "MgO" 38.33 38.21 38.15 38.11 38.11 "g/100g" 0.143 0.0201 0.02007 0.0902 0.0902 2.09 6 20 "median" 38.11 0.189
2014-07-25 "GAS" "MgO" 38.33 38.21 38.15 38.11 38.11 "g/100g" 0.143 0.0201 0.02007 0.0902 0.0902 2.09 26 20 "median" 38.11 0.189
2014-07-25 "GAS" "MgO" 38.33 38.21 38.15 38.11 38.11 "g/100g" 0.143 0.0201 0.02007 0.0902 0.0902 2.09 33 20 "median" 38.11 0.189
2014-07-25 "GAS" "MgO" 38.33 38.21 38.15 38.11 38.11 "g/100g" 0.143 0.0201 0.02007 0.0902 0.0902 2.09 31 20 "median" 38.11 0.189
2014-07-25 "GAS" "MgO" 38.33 38.21 38.15 38.11 38.11 "g/100g" 0.143 0.0201 0.02007 0.0902 0.0902 2.09 24 20 "median" 38.11 0.189
